episode,state,action,agent_rule,env_rule,cum_return
0,"((3, 0, 2), 1, 1)",3,1,1,-83
0,"((2, 0, 3), 1, 2)",0,1,2,-82
0,"((3, 2, 0), 1, 0)",0,1,2,-83
0,"((3, 2, 1), 3, 0)",1,3,2,-84
0,"((2, 1, 3), 2, 1)",1,2,2,-83
0,"((2, 0, 1), 3, 0)",0,3,2,-84
0,"((1, 2, 3), 1, 0)",0,1,2,-85
0,"((3, 2, 1), 0, 0)",1,0,2,-86
0,"((1, 2, 3), 3, 0)",0,3,2,-87
0,"((2, 3, 1), 3, 0)",0,3,2,-88
0,"((2, 0, 1), 0, 0)",2,0,2,-89
0,"((2, 3, 1), 1, 0)",0,1,2,-90
0,"((2, 1, 0), 3, 0)",0,3,2,-91
0,"((3, 2, 1), 1, 0)",1,1,2,-92
0,"((3, 1, 0), 2, 1)",1,2,2,-91
0,"((1, 2, 3), 2, 2)",0,2,0,-90
0,"((2, 0, 3), 3, 0)",0,3,0,-91
0,"((3, 1, 2), 1, 0)",0,1,0,-92
0,"((0, 2, 3), 0, 1)",3,0,0,-91
0,"((2, 0, 1), 0, 2)",0,0,0,-90
0,"((2, 0, 1), 1, 0)",0,1,0,-91
0,"((1, 3, 2), 3, 0)",3,3,0,-92
0,"((2, 0, 3), 3, 0)",0,3,0,-93
0,"((2, 0, 1), 3, 0)",1,3,0,-94
0,"((2, 0, 3), 2, 0)",1,2,0,-95
0,"((2, 3, 1), 1, 0)",0,1,0,-96
0,"((1, 0, 3), 2, 0)",1,2,0,-97
0,"((1, 0, 3), 0, 1)",1,0,0,-96
0,"((1, 3, 2), 1, 0)",0,1,0,-97
0,"((1, 2, 0), 3, 0)",0,3,0,-98
0,"((0, 2, 3), 2, 0)",0,2,0,-99
0,"((2, 0, 3), 3, 0)",1,3,0,-100
0,"((2, 3, 0), 0, 1)",2,0,0,-99
0,"((0, 1, 3), 0, 2)",2,0,0,-98
0,"((1, 0, 2), 0, 3)",0,0,2,-97
0,"((1, 2, 3), 1, 0)",0,1,2,-98
0,"((2, 1, 0), 1, 0)",2,1,2,-99
