episode,state,action,agent_rule,env_rule,episode_return
0,"((1, 0, 3), 2, 0)",0,2,0,-22
0,"((0, 3, 1), 1, 0)",0,1,0,-23
0,"((0, 1, 3), 0, 1)",0,0,0,-22
0,"((1, 3, 0), 0, 2)",0,0,1,-21
0,"((0, 2, 3), 2, 0)",0,2,1,-22
0,"((3, 2, 1), 0, 0)",0,0,1,-23
0,"((3, 0, 2), 3, 0)",0,3,1,-24
0,"((3, 0, 1), 1, 1)",0,1,1,-23
0,"((0, 3, 2), 1, 2)",0,1,1,-22
0,"((2, 1, 0), 0, 0)",0,0,1,-23
0,"((1, 2, 3), 2, 0)",0,2,1,-24
0,"((1, 0, 2), 3, 0)",0,3,1,-25
0,"((1, 0, 3), 0, 0)",1,0,1,-26
0,"((1, 2, 3), 1, 1)",0,1,1,-25
0,"((2, 1, 3), 3, 0)",0,3,1,-26
0,"((3, 2, 1), 3, 0)",0,3,1,-27
0,"((1, 0, 3), 2, 0)",1,2,1,-28
0,"((2, 3, 1), 0, 0)",1,0,1,-29
0,"((2, 0, 1), 3, 0)",0,3,1,-30
0,"((1, 2, 0), 1, 1)",0,1,1,-29
0,"((2, 1, 3), 2, 0)",0,2,1,-30
0,"((2, 0, 3), 1, 1)",1,1,1,-29
0,"((2, 1, 0), 1, 2)",0,1,2,-28
0,"((0, 2, 1), 2, 3)",0,2,1,-27
0,"((0, 2, 3), 0, 0)",0,0,1,-28
0,"((1, 2, 0), 3, 0)",1,3,1,-29
0,"((0, 1, 3), 0, 0)",1,0,1,-30
0,"((3, 2, 0), 0, 0)",0,0,1,-31
0,"((0, 2, 1), 3, 0)",1,3,1,-32
0,"((3, 0, 2), 0, 0)",0,0,1,-33
0,"((0, 3, 1), 1, 1)",0,1,1,-32
0,"((3, 1, 2), 0, 0)",0,0,1,-33
0,"((1, 0, 3), 3, 0)",0,3,1,-34
0,"((3, 0, 2), 1, 1)",0,1,1,-33
0,"((3, 0, 2), 1, 2)",0,1,2,-32
0,"((0, 2, 3), 1, 0)",0,1,2,-33
0,"((2, 3, 0), 0, 0)",0,0,2,-34
0,"((2, 0, 3), 3, 0)",1,3,2,-35
0,"((2, 1, 3), 1, 0)",0,1,2,-36
0,"((1, 0, 2), 3, 0)",0,3,2,-37
0,"((3, 2, 0), 2, 1)",2,2,2,-36
0,"((0, 2, 1), 0, 0)",3,0,2,-37
0,"((1, 3, 2), 0, 0)",0,0,2,-38
0,"((1, 2, 3), 0, 0)",1,0,2,-39
0,"((0, 1, 3), 3, 0)",0,3,2,-40
0,"((0, 3, 2), 3, 0)",2,3,2,-41
0,"((1, 3, 0), 0, 0)",0,0,2,-42
0,"((3, 0, 1), 2, 1)",0,2,2,-41
0,"((2, 3, 0), 1, 0)",0,1,2,-42
0,"((0, 3, 1), 3, 0)",1,3,2,-43
0,"((3, 0, 2), 0, 0)",0,0,2,-44
0,"((3, 0, 1), 1, 0)",0,1,2,-45
0,"((0, 3, 2), 1, 0)",0,1,2,-46
0,"((2, 1, 3), 0, 0)",0,0,2,-47
0,"((2, 0, 1), 3, 0)",0,3,2,-48
0,"((0, 2, 1), 1, 0)",0,1,2,-49
0,"((1, 2, 3), 0, 0)",0,0,2,-50
0,"((2, 3, 0), 0, 0)",1,0,2,-51
0,"((0, 1, 2), 0, 0)",2,0,2,-52
0,"((3, 1, 2), 1, 0)",1,1,2,-53
0,"((3, 0, 2), 3, 0)",0,3,2,-54
0,"((0, 1, 3), 1, 0)",0,1,2,-55
0,"((2, 0, 1), 0, 0)",0,0,2,-56
0,"((3, 1, 2), 1, 0)",0,1,2,-57
0,"((2, 0, 1), 1, 0)",1,1,2,-58
0,"((0, 2, 3), 1, 0)",0,1,2,-59
0,"((0, 2, 1), 3, 0)",1,3,2,-60
0,"((1, 3, 0), 2, 1)",1,2,2,-59
